# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.15
4                       0.30
8                       0.61
16                      1.24
32                      2.45
64                      4.96
128                     9.46
256                    19.05
512                    38.33
1024                   75.33
2048                  150.85
4096                  295.15
8192                  583.66
16384                1064.26
32768                1728.62
65536                2997.32
131072               5672.92
262144               5532.98
524288              11435.12
1048576             19631.89
2097152             16669.15
4194304             29101.05
