# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.45
2                       0.89
4                       1.80
8                       3.60
16                      7.20
32                     14.34
64                     28.75
128                    57.35
256                   115.61
512                   229.77
1024                  454.88
2048                  894.01
4096                 1633.37
8192                 2792.74
16384                4585.46
32768                7094.81
65536               12372.83
131072              24382.25
262144              46068.64
524288              68098.84
1048576             92668.17
2097152            114440.43
4194304            139585.67
