# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.35
2                       0.72
4                       1.41
8                       2.86
16                      5.55
32                     11.11
64                     22.22
128                    44.30
256                    88.43
512                   180.76
1024                  362.95
2048                  730.53
4096                 1456.14
8192                 2899.31
16384                5749.87
32768               11782.08
65536               23304.93
131072              46073.70
262144              88800.52
524288             133188.94
1048576            173499.23
2097152            205026.85
4194304            225382.08
