# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.31
4                       0.62
8                       1.23
16                      2.53
32                      5.07
64                     10.02
128                    20.48
256                    40.54
512                    79.93
1024                  166.85
2048                  334.42
4096                  664.16
8192                 1332.79
16384                2623.03
32768                5225.32
65536               10268.56
131072              19641.04
262144              36535.88
524288              60571.24
1048576             94374.06
2097152            137822.50
4194304            177598.13
