# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.88
2                       3.86
4                       7.72
8                      15.39
16                     31.06
32                     62.07
64                    123.85
128                   244.99
256                   486.56
512                   971.90
1024                 1778.79
2048                 3818.83
4096                 7212.86
8192                12082.36
16384               18805.23
32768               32168.32
65536               40198.19
131072              43318.46
262144              45011.28
524288              45850.84
1048576             46273.36
2097152             46490.67
4194304             46599.11
