# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.41
2                       2.81
4                       5.62
8                      11.26
16                     22.57
32                     45.29
64                     89.37
128                   179.82
256                   245.69
512                   495.40
1024                  875.36
2048                 1446.46
4096                 2739.64
8192                10492.61
16384               19969.25
32768               36083.79
65536               59982.94
131072              87720.40
262144             113366.27
524288              98097.63
1048576             52341.51
2097152             40186.36
4194304             34572.12
