# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.28
4                       0.60
8                       1.15
16                      2.33
32                      4.84
64                      9.37
128                    18.79
256                    37.09
512                    77.69
1024                  156.75
2048                  321.15
4096                  640.98
8192                 1261.81
16384                2387.58
32768                4904.97
65536                9155.41
131072              18058.53
262144              33605.84
524288              58725.99
1048576             92909.24
2097152            136708.67
4194304            173743.19
