# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.77
2                       1.72
4                       3.61
8                       7.33
16                     14.75
32                     30.43
64                     53.99
128                   104.40
256                   124.41
512                   277.71
1024                  425.66
2048                  763.29
4096                 1442.71
8192                 4952.27
16384               10993.39
32768               18384.72
65536               32716.88
131072              49069.96
262144              67398.30
524288              66569.91
1048576             46321.59
2097152             44304.21
4194304             40504.06
