# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.99
2                       4.03
4                       7.64
8                      16.01
16                     32.11
32                     64.90
64                    129.18
128                   255.07
256                   522.05
512                  1036.51
1024                 1869.90
2048                 4017.80
4096                 7550.20
8192                 1098.84
16384                2241.59
32768                7005.55
65536               14003.68
131072              27836.29
262144              44831.45
524288              45671.96
1048576             46189.41
2097152             46440.91
4194304             46570.77
