# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.53
8                       1.08
16                      2.23
32                      4.50
64                      8.94
128                    18.06
256                    36.06
512                    73.09
1024                  146.69
2048                  284.67
4096                  570.95
8192                 1073.77
16384                1912.83
32768                3288.48
65536                5988.06
131072              11892.66
262144              23047.60
524288              39326.86
1048576             62441.07
2097152             87108.30
4194304            114916.14
