# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.27
4                       2.56
8                       5.11
16                     10.23
32                     20.27
64                     40.96
128                    71.35
256                   134.72
512                   267.57
1024                  510.26
2048                 1009.41
4096                 1870.72
8192                 3384.56
16384                5836.63
32768                6085.47
65536               10355.53
131072              16400.91
262144              24692.25
524288              32367.70
1048576             37998.63
2097152             41771.94
4194304             44100.00
