# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.57
2                       1.17
4                       2.21
8                       4.69
16                      9.39
32                     17.95
64                     37.29
128                    61.75
256                   117.34
512                   231.57
1024                  449.14
2048                  825.09
4096                 1580.49
8192                  833.79
16384                2389.53
32768                3386.08
65536                6093.17
131072              10824.88
262144              16588.56
524288              24931.75
1048576             31802.25
2097152             38249.22
4194304             41910.53
