# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.77
2                       3.65
4                       7.54
8                      14.62
16                     30.43
32                     61.35
64                    122.35
128                   242.84
256                   493.02
512                   976.59
1024                 1781.58
2048                 3788.91
4096                 7191.53
8192                 1067.19
16384                1900.81
32768                6724.43
65536               13389.20
131072              26585.78
262144              44847.36
524288              45734.15
1048576             46205.56
2097152             46445.96
4194304             46574.08
