# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.18
2                      11.08
4                      21.66
8                      41.21
16                     45.26
32                     99.85
64                    127.15
128                   186.23
256                   321.55
512                   556.61
1024                 1136.09
2048                 2335.24
4096                 4423.22
8192                 7962.76
16384               13803.89
32768               29395.22
65536               50137.22
131072              77244.52
262144              98165.15
524288              75282.76
1048576             51733.13
2097152             39267.77
4194304             35982.83
