# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.04
2                       0.09
4                       0.16
8                       0.30
16                      0.75
32                      1.30
64                      2.50
128                     4.99
256                     8.62
512                    18.07
1024                   40.64
2048                   81.57
4096                  137.16
8192                  298.86
16384                 441.10
32768                 853.35
65536                1275.07
131072               2343.39
262144               3540.70
524288               4629.44
1048576              8054.09
2097152             10648.81
4194304             12788.42
