# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.17
2                       0.34
4                       0.68
8                       1.37
16                      2.74
32                      5.42
64                     10.98
128                    21.97
256                    43.28
512                    88.01
1024                  174.68
2048                  349.97
4096                  705.70
8192                 1387.05
16384                2748.72
32768                5515.94
65536               10570.66
131072              20225.29
262144              37424.68
524288              64831.36
1048576            101949.49
2097152            143960.76
4194304            184659.86
