# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
1                      13.26
2                      13.13
4                      13.18
8                      13.06
16                     13.00
32                     12.99
64                     13.01
128                    13.02
256                    12.95
512                    12.95
1024                   13.01
2048                   13.10
4096                   13.28
8192                   13.76
16384                  14.84
32768                  18.14
65536                  20.12
131072                 20.27
262144                 21.08
524288                 24.56
1048576                31.59
2097152                45.41
4194304                63.44
