# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.62
2                       1.25
4                       2.66
8                       5.30
16                     10.62
32                     21.16
64                     42.10
128                    67.04
256                   128.86
512                   268.85
1024                  524.22
2048                  963.96
4096                 1822.25
8192                 3285.53
16384                5711.30
32768                5957.14
65536               10254.42
131072              16758.23
262144              23899.82
524288              32099.77
1048576             37606.15
2097152             41816.61
4194304             44039.25
