# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
1                      25.70
2                      24.96
4                      24.88
8                      24.74
16                     24.35
32                     24.37
64                     24.38
128                    25.24
256                    25.11
512                    25.21
1024                   25.20
2048                   25.65
4096                   26.00
8192                   26.72
16384                  28.06
32768                  34.51
65536                  39.54
131072                 40.32
262144                 46.60
524288                 66.90
1048576                79.58
2097152               125.11
4194304               214.74
