# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.78
4                       7.69
8                      15.25
16                     26.00
32                     52.11
64                    101.40
128                   193.43
256                   373.06
512                   339.39
1024                  681.89
2048                 1361.02
4096                 2483.58
8192                 5338.51
16384               10428.03
32768               15462.99
65536               29174.76
131072              48518.23
262144              72353.51
524288              76118.63
1048576             60198.55
2097152             41707.50
4194304             37234.13
