# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.56
2                       3.81
4                       7.71
8                      15.35
16                     26.75
32                     53.81
64                    103.95
128                   195.13
256                   367.32
512                   330.83
1024                  675.13
2048                 1020.93
4096                 2682.68
8192                 5290.52
16384               10189.37
32768               15159.67
65536               28524.61
131072              47001.11
262144              67579.00
524288              82469.26
1048576             49371.41
2097152             41218.95
4194304             36484.81
