# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.74
2                       1.74
4                       3.59
8                       7.06
16                     12.62
32                     28.82
64                     52.22
128                   103.46
256                   128.95
512                   265.83
1024                  457.88
2048                  744.64
4096                 1438.57
8192                 4853.70
16384                9561.44
32768               18867.42
65536               30129.42
131072              51105.67
262144              64940.58
524288              77919.33
1048576             49382.57
2097152             44275.78
4194304             39511.44
