# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.64
2                       1.31
4                       2.61
8                       5.26
16                      9.35
32                     21.00
64                     41.61
128                    67.47
256                   122.26
512                   269.05
1024                  525.77
2048                  986.24
4096                 1835.18
8192                 3220.03
16384                5762.72
32768                6006.06
65536               10183.08
131072              16866.92
262144              23814.76
524288              32254.60
1048576             37938.14
2097152             41726.75
4194304             44087.03
