# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.27
2                       2.66
4                       5.34
8                      10.54
16                     21.37
32                     42.71
64                     86.76
128                   172.51
256                   344.38
512                   687.47
1024                 1267.61
2048                 2639.33
4096                 4781.14
8192                 1060.12
16384                1880.53
32768                6401.86
65536               12738.62
131072              25566.50
262144              43781.19
524288              45148.78
1048576             45849.51
2097152             46295.08
4194304             46489.82
