# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.14
4                       0.28
8                       0.55
16                      0.23
32                      2.25
64                      4.53
128                     8.90
256                     4.41
512                    35.03
1024                   69.50
2048                   31.36
4096                  279.53
8192                  548.90
16384                  78.89
32768                1728.40
65536                2864.83
131072               5497.61
262144               8417.43
524288               1661.22
1048576             19329.92
2097152              6952.10
4194304             13002.43
