# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      18.86
2                      16.56
4                      16.53
8                      16.55
16                     16.46
32                     16.45
64                     16.47
128                    16.47
256                    16.43
512                    16.48
1024                   16.48
2048                   16.58
4096                   17.02
8192                   17.70
16384                  18.98
32768                  21.41
65536                  23.35
131072                 23.68
262144                 24.48
524288                 27.19
1048576                33.20
