# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.27
2                      10.02
4                      10.25
8                      10.62
16                     10.21
32                     10.48
64                     10.63
128                    10.79
256                    11.55
512                    20.78
1024                   40.45
2048                   41.95
4096                   42.00
8192                   44.43
16384                  47.29
32768                  57.18
65536                  75.69
131072                 92.44
262144                157.87
524288                330.50
1048576               639.89
