# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.98
2                      16.98
4                      17.27
8                      17.12
16                     16.89
32                     16.83
64                     18.46
128                    18.19
256                    19.15
512                    19.60
1024                   58.88
2048                   58.14
4096                   58.72
8192                   58.95
16384                  60.78
32768                  61.41
65536                  59.97
131072                 73.39
262144                 95.08
524288                162.43
1048576               295.51
