# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.86
2                       9.92
4                      10.10
8                       9.99
16                      9.94
32                     10.15
64                     10.40
128                    10.69
256                    11.38
512                    20.10
1024                   40.86
2048                   42.05
4096                   42.14
8192                   43.21
16384                  49.01
32768                  55.75
65536                  77.18
131072                 93.12
262144                154.73
524288                330.84
1048576               646.87
