# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.50
2                      17.82
4                      17.46
8                      17.79
16                     17.43
32                     17.92
64                     18.30
128                    18.78
256                    19.19
512                    19.60
1024                   58.88
2048                   59.27
4096                   59.67
8192                   59.21
16384                  60.04
32768                  61.50
65536                  59.70
131072                 70.74
262144                100.71
524288                168.34
1048576               304.75
