# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.28
4                       0.56
8                       1.12
16                      2.24
32                      4.46
64                      8.91
128                    17.81
256                    35.39
512                    70.19
1024                  411.60
2048                  847.42
4096                 1674.94
8192                 3370.78
16384                6777.28
32768               13705.79
65536               27237.27
131072              53500.12
262144             102693.97
524288             154618.80
1048576            191297.33
2097152            216228.12
4194304            231730.98
