# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.25
4                       0.50
8                       1.00
16                      1.91
32                      3.97
64                      7.79
128                    15.73
256                    31.10
512                    62.83
1024                  163.11
2048                  324.65
4096                  645.23
8192                 1289.30
16384                2556.26
32768                5109.32
65536                9835.88
131072              18822.04
262144              34964.89
524288              60320.71
1048576             96422.33
2097152            137447.41
4194304            177923.97
