# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.61
2                       3.23
4                       6.49
8                      12.93
16                     25.63
32                     51.55
64                    103.47
128                   205.44
256                   414.84
512                   828.01
1024                 1652.80
2048                 3322.85
4096                 6647.02
8192                13304.24
16384               24707.18
32768               31110.57
65536               37436.29
131072              41521.66
262144              43971.60
524288              45304.96
1048576             45993.61
2097152             46349.49
4194304             46532.19
