# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.15
4                       0.30
8                       0.59
16                      1.20
32                      1.89
64                      4.82
128                     9.25
256                    18.31
512                    36.53
1024                   73.18
2048                  147.80
4096                  294.00
8192                  462.77
16384                1132.59
32768                1901.91
65536                3333.59
131072               6298.85
262144              10866.19
524288              16744.58
1048576             24545.26
2097152             29707.77
4194304             36509.81
