# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.31
2                       0.88
4                       1.77
8                       3.29
16                      6.47
32                     12.99
64                     26.30
128                    49.82
256                   111.22
512                   209.20
1024                  237.54
2048                  477.02
4096                  933.32
8192                 1869.43
16384                3686.91
32768                7046.50
65536               13644.73
131072              22937.94
262144              31654.93
524288              41949.92
1048576             42393.51
2097152             46209.90
4194304             38336.59
