# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
1                      26.63
2                      26.59
4                      26.48
8                      26.57
16                     26.37
32                     26.40
64                     26.42
128                    27.23
256                    27.15
512                    27.29
1024                   27.31
2048                   27.50
4096                   27.57
8192                   27.87
16384                  28.68
32768                  33.81
65536                  38.41
131072                 39.24
262144                 44.99
524288                 55.67
1048576                79.79
2097152               122.86
4194304               209.44
