# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.45
2                       0.88
4                       1.79
8                       3.58
16                      7.18
32                     14.35
64                     28.56
128                    57.18
256                   115.68
512                   228.82
1024                  454.79
2048                  894.51
4096                 1646.17
8192                 2794.47
16384                4576.19
32768                7287.32
65536               12526.65
131072              24531.26
262144              45882.63
524288              68035.54
1048576             92373.97
2097152            114478.51
4194304            139178.23
