# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.78
4                       7.57
8                      15.12
16                     30.21
32                     60.29
64                    120.73
128                   238.60
256                   486.48
512                   976.68
1024                 1944.41
2048                 3902.20
4096                 7816.73
8192                15613.58
16384               25755.33
32768               29975.44
65536               38024.09
131072              42040.03
262144              44105.88
524288              45260.28
1048576             45742.44
2097152             45885.69
4194304             46090.98
