# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.52
2                       1.05
4                       2.10
8                       4.09
16                      8.38
32                     16.80
64                     34.04
128                    64.67
256                   111.73
512                   221.69
1024                  429.63
2048                  848.05
4096                 1623.08
8192                 3089.29
16384                5530.84
32768                6758.20
65536               11222.30
131072              18395.17
262144              26373.56
524288              33657.72
1048576             39106.34
2097152             42440.21
4194304             44513.47
